species;lat;lon
Betula ermanii;35.76875;138.25
Betula ermanii;36.187083;138.1875
Betula ermanii;35.602083;138.1875
Betula ermanii;36.187083;138.125
Betula ermanii;36.187083;138.125
Betula ermanii;36.227917;137.625
Betula ermanii;35.435417;138.125
Betula ermanii;36.435417;137.75
Betula ermanii;36.187083;138.125
Betula ermanii;35.602083;137.875
Betula ermanii;39.770833;141.65625
Betula ermanii;38.98210479;140.7652993
Betula ermanii;42.97592;144.405085
Betula ermanii;42.97592;144.405085
Betula ermanii;42.97592;144.405085
Betula ermanii;43.2002;141.008
Betula ermanii;54.380079;126.135107
Betula ermanii;54.377339;125.668757
Betula ermanii;54.436712;125.497483
Betula ermanii;36.702438;138.488282
Betula ermanii;36.702438;138.488282
Betula ermanii;36.83333;137.75
Betula ermanii;53.248033;156.843483
Betula ermanii;53.248033;156.843483
Betula ermanii;53.248033;156.843483
Betula ermanii;53.248033;156.843483
Betula ermanii;53.248033;156.843483
Betula ermanii;58.547;114.178
Betula ermanii;59.526;121.243
Betula ermanii;55.772;114.802
Betula ermanii;58.316;115.401
Betula ermanii;58.498;127.557
Betula ermanii;57.758;121.423
Betula ermanii;57.113;118.318
Betula ermanii;56.637;112.808
Betula ermanii;62.473;143.972
Betula ermanii;56.726;113.603
Betula ermanii;54.049;110.57
Betula ermanii;54.909;108.753
Betula ermanii;58.996;132.35
Betula ermanii;57.567;114.268
Betula ermanii;59.74;116.144
Betula ermanii;58.582;116.991
Betula ermanii;58.427;129.602
Betula ermanii;58.024;127.416
Betula ermanii;59.631;117.045
Betula ermanii;57.974;112.303
Betula ermanii;57.907;115.627
Betula ermanii;58.236;120.889
Betula ermanii;59.596;115.396
Betula ermanii;59.032;116.458
Betula ermanii;57.626;115.257
Betula ermanii;54.344;111.07
Betula ermanii;56.505;130.275
Betula ermanii;56.198;117.844
Betula ermanii;55.247;109.026
Betula ermanii;55.738;108.736
Betula ermanii;58.482;123.483
Betula ermanii;57;112.966
Betula ermanii;60.117;115.513
Betula ermanii;57.576;112.704
Betula ermanii;56.261;110.286
Betula ermanii;58.837;114.663
Betula ermanii;56.289;130.878
Betula ermanii;57.084;113.979
Betula ermanii;53.841;107.597
Betula ermanii;56.291;112.28
Betula ermanii;58.633;131.645
Betula ermanii;56.695;109.54
Betula ermanii;55.828;112.372
Betula ermanii;55.368;114.346
Betula ermanii;63.216;143.733
Betula ermanii;55.388;113.141
Betula ermanii;59.351;117.287
Betula ermanii;58.406;128.803
Betula ermanii;58.879;121.498
Betula ermanii;55.291;112.438
Betula ermanii;58.885;117.472
Betula ermanii;57.857;119.569
Betula ermanii;56.165;129.994
Betula ermanii;54.31;108.462
Betula ermanii;57.111;114.765
Betula ermanii;58.08;129.774
Betula ermanii;57.903;112.853
Betula ermanii;59.019;115.594
Betula ermanii;56.276;112.997
Betula ermanii;56.195;109.689
Betula ermanii;56.345;113.779
Betula ermanii;58.413;116.507
Betula ermanii;59.234;114.341
Betula ermanii;59.398;116.441
Betula ermanii;58.122;131.374
Betula ermanii;54.584;112.121
Betula ermanii;55.047;111.232
Betula ermanii;56.616;125.927
Betula ermanii;57.673;129.163
Betula ermanii;54.785;110.566
Betula ermanii;56.196;115.242
Betula ermanii;56.353;109.079
Betula ermanii;57.589;111.75
Betula ermanii;57.962;128.249
Betula ermanii;62.816;143.063
Betula ermanii;57.754;131.437
Betula ermanii;55.69;109.396
Betula ermanii;54.014;108.111
Betula ermanii;56.991;117.262
Betula ermanii;54.398;110.237
Betula ermanii;58.415;112.852
Betula ermanii;57.137;111.084
Betula ermanii;57.912;122.701
Betula ermanii;58.648;115.506
Betula ermanii;54.709;108.12
Betula ermanii;57.419;124.717
Betula ermanii;58.205;116.011
Betula ermanii;56.787;124.803
Betula ermanii;53.055417;158.597135
