species;latitude;longitude
Pinus koraiensis;35.64676;139.27285
Pinus koraiensis;35.64676;139.27285
Pinus koraiensis;35.64676;139.27285
Pinus koraiensis;35.64676;139.27285
Pinus koraiensis;35.64676;139.27285
Pinus koraiensis;34.5737;135.775
Pinus koraiensis;40.91667;124.83333
Pinus koraiensis;42.33333;129.16667
Pinus koraiensis;42.33333;129.16667
Pinus koraiensis;47.25194;128.81111
Pinus koraiensis;47.85167;128.80917
Pinus koraiensis;47.185;128.88278
Pinus koraiensis;47.18139;128.89444
Pinus koraiensis;47.18306;128.89167
Pinus koraiensis;47.185;128.88306
Pinus koraiensis;42.39583;127.99056
Pinus koraiensis;42.78028;127.98417
Pinus koraiensis;42.76722;127.97444
Pinus koraiensis;42.24889;128.16583
Pinus koraiensis;42.21889;128.18444
Pinus koraiensis;42.43972;128.98778
Pinus koraiensis;42.4;128.08333
Pinus koraiensis;48.1;129.21667
Pinus koraiensis;43.95667;132.42861
Pinus koraiensis;43.60028;134.30083
Pinus koraiensis;43.77812;132.9243
Pinus koraiensis;43.14947;132.68856
Pinus koraiensis;48.89522;131.16737
Pinus koraiensis;43.18585;134.26003
Pinus koraiensis;44.06379;134.14933
Pinus koraiensis;46.56524;134.67477
Pinus koraiensis;42.86441;133.80689
Pinus koraiensis;44.58199;135.14272
Pinus koraiensis;42.90056;133.70024
Pinus koraiensis;43.22624;132.07564
Pinus koraiensis;48.60188;135.5848
Pinus koraiensis;43.2225;131.9957
Pinus koraiensis;43.22184;132.00297
Pinus koraiensis;43.21396;132.00777
Pinus koraiensis;50.28505;134.7076
Pinus koraiensis;50.48248;137.09087
Pinus koraiensis;48.5806;130.64683
Pinus koraiensis;47.98404;139.53004
Pinus koraiensis;43.49759;131.55366
Pinus koraiensis;42.8308;132.99665
Pinus koraiensis;43.17479;132.88263
Pinus koraiensis;43.03443;133.70947
Pinus koraiensis;48.5947;130.60539
Pinus koraiensis;50.28505;134.7076
Pinus koraiensis;45.0216;135.9339
Pinus koraiensis;45.0816;135.8908
Pinus koraiensis;45.1082;135.8708
Pinus koraiensis;45.1307;135.8638
Pinus koraiensis;45.1079;136.4328
Pinus koraiensis;45.1425;136.3559
Pinus koraiensis;45.1438;136.2936
Pinus koraiensis;45.1584;136.2547
Pinus koraiensis;45.1812;136.0527
Pinus koraiensis;45.1836;136.0443
Pinus koraiensis;45.7898;135.1229
Pinus koraiensis;45.8133;135.2459
Pinus koraiensis;45.7949;135.2918
Pinus koraiensis;42.8634;133.8071
Pinus koraiensis;43.587;133.3922
Pinus koraiensis;44.3043;133.7124
Pinus koraiensis;44.1162;133.9959
Pinus koraiensis;43.7183;133.881
Pinus koraiensis;43.7364;133.8753
Pinus koraiensis;43.5883;134.16514
Pinus koraiensis;43.6364;134.1888
Pinus koraiensis;43.6576;134.3915
Pinus koraiensis;43.5779;134.6234
Pinus koraiensis;43.2873;131.6015
Pinus koraiensis;43.3459;131.6079
Pinus koraiensis;43.0815;132.6986
Pinus koraiensis;43.0951;132.7012
Pinus koraiensis;43.113;132.7106
Pinus koraiensis;43.1192;132.7029
Pinus koraiensis;43.2208;131.9946
Pinus koraiensis;43.2207;131.9858
Pinus koraiensis;43.2216;132.037
Pinus koraiensis;43.1969;132.0349
Pinus koraiensis;43.2535;132.1589
Pinus koraiensis;43.6338;132.4135
Pinus koraiensis;43.6279;132.3836
Pinus koraiensis;43.6438;132.4372
Pinus koraiensis;43.6052;132.3923
Pinus koraiensis;43.7189;132.545
Pinus koraiensis;45.774;135.429
Pinus koraiensis;45.768;135.437
Pinus koraiensis;45.759;135.446
Pinus koraiensis;45.778;135.423
Pinus koraiensis;45.8;135.329
Pinus koraiensis;45.817;135.447
Pinus koraiensis;45.811;135.6
Pinus koraiensis;45.807;135.579
Pinus koraiensis;45.864;135.781
Pinus koraiensis;45.781;135.668
Pinus koraiensis;45.809;135.678
Pinus koraiensis;45.784;135.462
Pinus koraiensis;45.764;135.442
Pinus koraiensis;45.773;135.463
Pinus koraiensis;45.79;135.297
Pinus koraiensis;45.819;135.301
Pinus koraiensis;45.784;135.415
Pinus koraiensis;45.751;135.45
Pinus koraiensis;45.743;135.348
Pinus koraiensis;45.779;135.318
Pinus koraiensis;46.488;135.49
Pinus koraiensis;46.513;135.501
Pinus koraiensis;46.445;135.457
Pinus koraiensis;46.449;135.447
Pinus koraiensis;46.456;135.454
Pinus koraiensis;46.469;135.558
Pinus koraiensis;46.453;135.459
Pinus koraiensis;45.392;136.506
Pinus koraiensis;45.394;136.508
Pinus koraiensis;45.394;136.514
Pinus koraiensis;45.397;136.526
Pinus koraiensis;45.416;136.512
Pinus koraiensis;45.394;136.513
Pinus koraiensis;45.402;136.506
Pinus koraiensis;45.412;136.514
Pinus koraiensis;45.323;136.493
Pinus koraiensis;49.032;132.955
Pinus koraiensis;49.062;132.934
Pinus koraiensis;46.741;135.082
Pinus koraiensis;49.073;132.908
Pinus koraiensis;49.075;132.92
Pinus koraiensis;49.066;132.878
Pinus koraiensis;49.054;132.873
Pinus koraiensis;49.053;132.87
Pinus koraiensis;45.0216;135.9339
Pinus koraiensis;45.0816;135.8908
Pinus koraiensis;45.1082;135.8708
Pinus koraiensis;45.1307;135.8638
Pinus koraiensis;45.1079;136.4328
Pinus koraiensis;45.1425;136.3559
Pinus koraiensis;45.1438;136.2936
Pinus koraiensis;45.1584;136.2547
