species;lat;lon
Abies sachalinensis;45.023;142.022
Abies sachalinensis;44.7734;142.2514
Abies sachalinensis;44.821;142.276
Abies sachalinensis;44.8;142.233
Abies sachalinensis;45.067;141.982
Abies sachalinensis;42.678;141.609
Abies sachalinensis;42.701;141.572
Abies sachalinensis;44.995;142.016
Abies sachalinensis;45.065;142.115
Abies sachalinensis;44.963;142.007
Abies sachalinensis;44.92;142.113
Abies sachalinensis;44.767;142.2
Abies sachalinensis;42.686;141.586
Abies sachalinensis;44.812;142.235
Abies sachalinensis;45.063;142.13
Abies sachalinensis;45.063;142.13
Abies sachalinensis;45.0023;142.0018
Abies sachalinensis;45.002;142.0018
Abies sachalinensis;44.82;142.274
Abies sachalinensis;44.81;142.09
Abies sachalinensis;44.875;142.138
Abies sachalinensis;44.9991;142.0032
Abies sachalinensis;45.083;142.105
Abies sachalinensis;44.93;141.99
Abies sachalinensis;45.075;142.119
Abies sachalinensis;42.686;141.586
Abies sachalinensis;44.92;142.113
Abies sachalinensis;42.677;141.611
Abies sachalinensis;44.7688;142.2616
Abies sachalinensis;44.9839;142.0094
Abies sachalinensis;44.7688;142.2616
Abies sachalinensis;44.81;142.09
Abies sachalinensis;44.821;142.276
Abies sachalinensis;44.821;142.276
Abies sachalinensis;42.686;141.586
Abies sachalinensis;45.044;142.009
Abies sachalinensis;44.913;141.967
Abies sachalinensis;45.057;142.099
Abies sachalinensis;42.678;141.608
Abies sachalinensis;42.686;141.586
Abies sachalinensis;45.026;142.019
Abies sachalinensis;44.982;142.061
Abies sachalinensis;44.815;142.281
Abies sachalinensis;44.7784;142.2322
Abies sachalinensis;45.049;142.005
Abies sachalinensis;44.81;142.09
Abies sachalinensis;45.064;142.104
Abies sachalinensis;44.7715;142.2468
Abies sachalinensis;44.7668;142.2552
Abies sachalinensis;44.931;142.088
Abies sachalinensis;45.075;142.119
Abies sachalinensis;44.961;142.112
Abies sachalinensis;44.99;142.03
Abies sachalinensis;44.991;142.018
Abies sachalinensis;45.075;142.119
Abies sachalinensis;45.083;142.105
Abies sachalinensis;45.04;142.037
Abies sachalinensis;44.996;142.12
Abies sachalinensis;45.075;142.119
Abies sachalinensis;44.7748;142.2519
Abies sachalinensis;45.075;142.119
Abies sachalinensis;44.81;142.09
Abies sachalinensis;44.7862;142.2464
Abies sachalinensis;44.7688;142.2616
Abies sachalinensis;44.7745;142.252
Abies sachalinensis;44.953;142.096
Abies sachalinensis;45.075;142.119
Abies sachalinensis;45;142.05
Abies sachalinensis;44.767;142.193
Abies sachalinensis;44.81;142.17
Abies sachalinensis;45.044;142.014
Abies sachalinensis;45.047;142.013
Abies sachalinensis;45.067;141.982
Abies sachalinensis;45.083;142.105
Abies sachalinensis;44.81;142.09
Abies sachalinensis;44.937;142.128
Abies sachalinensis;45;142.015
Abies sachalinensis;44.961;142.118
Abies sachalinensis;45.047;142.013
Abies sachalinensis;44.9991;142.0031
Abies sachalinensis;44.7688;142.2616
Abies sachalinensis;45.051;142.011
Abies sachalinensis;44.913;141.967
Abies sachalinensis;45.076;142.008
Abies sachalinensis;44.92;142.02
Abies sachalinensis;44.996;142.12
Abies sachalinensis;44.41;142.18
Abies sachalinensis;44.81;142.09
Abies sachalinensis;44.985;142.119
Abies sachalinensis;44.92;142.02
Abies sachalinensis;45;142.05
Abies sachalinensis;45.026;142.019
Abies sachalinensis;45.044;142.016
Abies sachalinensis;42.686;141.586
Abies sachalinensis;42.686;141.586
Abies sachalinensis;45;142.05
Abies sachalinensis;45.044;142.016
Abies sachalinensis;42.686;141.586
Abies sachalinensis;44.72;142.27
Abies sachalinensis;45.048;142.006
Abies sachalinensis;44.41;142.18
Abies sachalinensis;44.7745;142.252
Abies sachalinensis;44.931;142.084
Abies sachalinensis;44.72;142.27
Abies sachalinensis;42.686;141.586
Abies sachalinensis;45.044;142.014
Abies sachalinensis;45.064;142.126
Abies sachalinensis;44.735;142.221
Abies sachalinensis;44.7745;142.252
Abies sachalinensis;44.963;142.151
Abies sachalinensis;44.7871;142.2581
Abies sachalinensis;44.735;142.221
Abies sachalinensis;45;142.015
Abies sachalinensis;44.7379;142.2327
Abies sachalinensis;44.733;142.239
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.9938;142.0611
Abies sachalinensis;44.9411;142.0929
Abies sachalinensis;44.733;142.239
Abies sachalinensis;44.9414;142.0905
Abies sachalinensis;44.733;142.239
Abies sachalinensis;44.9406;142.0905
Abies sachalinensis;44.7422;142.228
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.9411;142.0929
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.95;142.034
Abies sachalinensis;44.984;142.054
Abies sachalinensis;44.7427;142.2276
Abies sachalinensis;44.9921;142.0648
Abies sachalinensis;44.733;142.239
Abies sachalinensis;44.7427;142.2272
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.9421;142.0997
Abies sachalinensis;44.989;142.071
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.728;142.241
Abies sachalinensis;44.733;142.239
Abies sachalinensis;44.7399;142.2394
Abies sachalinensis;44.9907;142.0651
Abies sachalinensis;44.7403;142.2382
Abies sachalinensis;44.735;142.221
Abies sachalinensis;44.951;142.069
Abies sachalinensis;44.952;142.094
Abies sachalinensis;44.969;142.027
Abies sachalinensis;44.9865;142.0618
Abies sachalinensis;44.9865;142.0635
Abies sachalinensis;44.7422;142.2285
Abies sachalinensis;44.36;142.26
Abies sachalinensis;44.952;142.052
Abies sachalinensis;44.36;142.26
Abies sachalinensis;44.36;142.26
Abies sachalinensis;44.36;142.26
Abies sachalinensis;44.36;142.26
Abies sachalinensis;42.68;141.59
Abies sachalinensis;44.736;142.227
Abies sachalinensis;44.767;142.222
Abies sachalinensis;45;142.05
Abies sachalinensis;44.767;142.222
Abies sachalinensis;45.009;142.093
Abies sachalinensis;44.993;142.061
Abies sachalinensis;44.767;142.222
Abies sachalinensis;45;142.05
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.749;142.244
Abies sachalinensis;44.993;142.061
Abies sachalinensis;44.749;142.244
Abies sachalinensis;44.298;142.277
Abies sachalinensis;45.009;142.093
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.749;142.244
Abies sachalinensis;44.734;142.238
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.749;142.244
Abies sachalinensis;44.8068;142.0964
Abies sachalinensis;44.808;142.0882
Abies sachalinensis;44.8035;142.0853
Abies sachalinensis;44.8072;142.0958
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.7868;142.1331
Abies sachalinensis;44.7348;142.1398
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.767;142.222
Abies sachalinensis;44.8039;142.0873
Abies sachalinensis;45.051;141.997
Abies sachalinensis;44.8123;142.1036
Abies sachalinensis;44.8046;142.1046
Abies sachalinensis;43.075;141.342
Abies sachalinensis;43.208;140.865
Abies sachalinensis;45.043;141.99
Abies sachalinensis;44.8068;142.0964
Abies sachalinensis;45.085;142.0284
Abies sachalinensis;44.8062;142.1061
Abies sachalinensis;44.811;142.1152
Abies sachalinensis;45.0788;142.1135
Abies sachalinensis;44.345;142.285
Abies sachalinensis;44.806;142.275
Abies sachalinensis;43.208;140.865
Abies sachalinensis;44.8072;142.0958
Abies sachalinensis;45.0752;142.1185
Abies sachalinensis;44.8106;142.1048
Abies sachalinensis;45.077;142.1132
Abies sachalinensis;41.761;140.151
Abies sachalinensis;44.8104;142.1129
Abies sachalinensis;44.8037;142.0846
Abies sachalinensis;44.8052;142.0995
Abies sachalinensis;44.803;142.0858
Abies sachalinensis;44.783;142.117
Abies sachalinensis;45.0788;142.1135
Abies sachalinensis;44.8031;142.11
