longitude;latitude;species
144.778967186298;43.7927691748184;Picea jezoensis
145.487279271694;43.2151001132597;Picea jezoensis
144.703505299634;43.0447368640523;Picea jezoensis
144.929492099724;43.0695038936979;Picea jezoensis
135.052305632717;44.7026725502867;Picea jezoensis
133.428779881812;43.0528458402155;Picea jezoensis
133.155825712655;43.5380414836294;Picea jezoensis
133.852862195538;44.0120979719986;Picea jezoensis
134.037433759977;44.0966578497209;Picea jezoensis
134.721943381908;43.8937942245154;Picea jezoensis
135.092842436325;44.1116966837295;Picea jezoensis
132.356079970446;43.5804195105218;Picea jezoensis
134.519766881;44.2876334897971;Picea jezoensis
137.269747295249;46.4395967700936;Picea jezoensis
137.484191962471;46.5114368217848;Picea jezoensis
137.804777011207;46.561112146435;Picea jezoensis
137.055308854757;46.1374547579432;Picea jezoensis
136.467217091464;46.0379212499935;Picea jezoensis
135.850844043338;45.9526041289696;Picea jezoensis
137.157121749627;48.0256891469304;Picea jezoensis
137.678198520815;47.7901281328892;Picea jezoensis
138.861296416867;47.5850158396826;Picea jezoensis
138.792034277323;47.8918966879827;Picea jezoensis
138.761777190981;47.9997707171749;Picea jezoensis
139.939527637318;48.4284625786269;Picea jezoensis
140.12456103891;48.7827659613718;Picea jezoensis
139.610782812555;48.6598255641973;Picea jezoensis
138.806225168232;48.7186753898044;Picea jezoensis
138.367478365919;49.5397810340179;Picea jezoensis
140.306444318159;50.0326893784794;Picea jezoensis
139.516839417099;49.4939713407535;Picea jezoensis
140.429523997985;49.5109333922352;Picea jezoensis
138.412506795082;50.7114973694681;Picea jezoensis
139.061573419577;51.1700139080691;Picea jezoensis
137.955545063099;51.2876708721056;Picea jezoensis
138.195887252559;51.6431504268919;Picea jezoensis
137.775942696939;52.0764115371819;Picea jezoensis
137.406827506866;52.1228742835201;Picea jezoensis
137.68394962884;52.5452937356729;Picea jezoensis
138.38040118129;52.6389682075123;Picea jezoensis
140.096550356157;52.4857047548505;Picea jezoensis
141.133971685987;52.6722488757237;Picea jezoensis
139.983842129958;53.9947753843917;Picea jezoensis
133.102612236882;49.292663258869;Picea jezoensis
133.74842609924;49.6374999340712;Picea jezoensis
134.230088082079;50.1162717244424;Picea jezoensis
132.82692693882;49.5898267979787;Picea jezoensis
132.554745800647;49.2929334511544;Picea jezoensis
136.946987153856;50.8737052304946;Picea jezoensis
135.982254243;53.0834875346126;Picea jezoensis
135.535014045281;52.6165242832244;Picea jezoensis
137.98306947275;53.0425398045198;Picea jezoensis
140.653542525725;51.9368276761983;Picea jezoensis
127.567;35.316;Picea jezoensis
135.41523810824;45.186159362548;Picea jezoensis
134.984005572115;49.100074736246;Picea jezoensis
134.929490575198;49.8517903552548;Picea jezoensis
136.398162612872;47.7122004086884;Picea jezoensis
137.183872646987;48.9003000206782;Picea jezoensis
137.780786710538;49.2795975611932;Picea jezoensis
136.927175355564;49.4733303375485;Picea jezoensis
137.781891983404;50.0750547629488;Picea jezoensis
135.389191092784;46.3579682456925;Picea jezoensis
136.402971403891;45.8228210078427;Picea jezoensis
136.959736812818;46.7992479301134;Picea jezoensis
137.212910544981;46.7672699716699;Picea jezoensis
138.423600138721;49.855998315976;Picea jezoensis
135.165771239213;51.1147700842331;Picea jezoensis
129.315199838401;47.0505712122407;Picea jezoensis
130.103779824864;47.269992793456;Picea jezoensis
136.136481516182;46.4641258762661;Picea jezoensis
136.537241827104;50.850944861699;Picea jezoensis
132.084736971105;53.6294747350835;Picea jezoensis
131.728236444568;53.9718379305071;Picea jezoensis
