species;latitude;longitude;
Abies nephrolepis;44.602605;135.455082; 
Abies nephrolepis;36.775497;128.085837; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;37.538889;128.763889; 
Abies nephrolepis;37.759864;128.577168; 
Abies nephrolepis;37.995091;127.50312; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;38.11924;128.465197; 
Abies nephrolepis;37.461616;128.563287; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;38.11903;128.46498; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.363889;128.058333; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;38.264872;128.359108; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;37.995091;127.50312; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;37.759864;128.577168; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;37.382737;128.04948; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;38.1042;128.41109; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;37.097222;128.919444; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.772222;128.602778; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;38.10302;128.46065; 
Abies nephrolepis;38.048873;128.425558; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;35.822222;128.119444; 
Abies nephrolepis;37.807015;128.562291; 
Abies nephrolepis;37.566538;126.977996; 
Abies nephrolepis;38.607406;128.120186; 
Abies nephrolepis;38.607406;128.120186; 
