longitude;latitude;species
132.8354561;43.11452103;Picea jezoensis
132.8047577;43.15510791;Picea jezoensis
136.6052769;45.06035541;Picea jezoensis
136.6090534;45.06447793;Picea jezoensis
132.9097239;43.1850507;Picea jezoensis
137.5;54.933333;Picea jezoensis
134.2021394;43.68234026;Picea jezoensis
131.7101001;43.4763359;Picea jezoensis
131.483615;43.39380062;Picea jezoensis
131.4894987;43.39148982;Picea jezoensis
132.5031512;43.65003023;Picea jezoensis
134.4258106;43.41895043;Picea jezoensis
132.8006378;43.14734329;Picea jezoensis
132.7948013;43.14020398;Picea jezoensis
132.8006378;43.14734329;Picea jezoensis
132.6007578;51.0722125;Picea jezoensis
124.83882;55.108257;Picea jezoensis
129.109789;56.528606;Picea jezoensis
133.807116;42.8636;Picea jezoensis
132.860705;43.220608;Picea jezoensis
134.750703;51.581967;Picea jezoensis
138.165755;56.46713;Picea jezoensis
140.963845;53.08371;Picea jezoensis
139.636743;50.818842;Picea jezoensis
140.094522;50.994975;Picea jezoensis
140.351842;50.929768;Picea jezoensis
141.173414;52.245254;Picea jezoensis
140.651263;52.284053;Picea jezoensis
140.211059;53.046513;Picea jezoensis
141.066912;53.273985;Picea jezoensis
136.683067;54.561327;Picea jezoensis
136.852217;54.959768;Picea jezoensis
137.512427;52.387462;Picea jezoensis
135.362159;55.204395;Picea jezoensis
136.034982;55.478394;Picea jezoensis
135.2172;57.362188;Picea jezoensis
135.85649;50.529713;Picea jezoensis
130.90672;51.106837;Picea jezoensis
130.114932;53.795129;Picea jezoensis
125.472294;54.159061;Picea jezoensis
125.157878;54.249505;Picea jezoensis
126.520578;55.546121;Picea jezoensis
130.021564;51.661398;Picea jezoensis
126.54389;54.24443;Picea jezoensis
126.98396;54.156976;Picea jezoensis
132.231193;49.339734;Picea jezoensis
133.201945;50.075786;Picea jezoensis
135.415544;51.802655;Picea jezoensis
136.76153;52.613744;Picea jezoensis
139.043228;52.293106;Picea jezoensis
136.069397;50.332712;Picea jezoensis
138.38777;48.257618;Picea jezoensis
139.453058;48.922854;Picea jezoensis
138.524261;53.4825;Picea jezoensis
139.085422;53.764468;Picea jezoensis
133.59655;50.353815;Picea jezoensis
133.445294;50.750517;Picea jezoensis
132.845735;49.049337;Picea jezoensis
130.920595;48.51607;Picea jezoensis
131.399874;48.322032;Picea jezoensis
132.507884;48.853905;Picea jezoensis
132.590517;48.205998;Picea jezoensis
159.747983;55.544395;Picea jezoensis
133.731465;43.259547;Picea jezoensis
132.887693;43.17636;Picea jezoensis
134.194638;43.695746;Picea jezoensis
138.339539;46.553514;Picea jezoensis
137.865342;47.37087;Picea jezoensis
135.303869;45.798913;Picea jezoensis
132.69876;43.087168;Picea jezoensis
133.226068;43.446174;Picea jezoensis
132.190872;43.601272;Picea jezoensis
133.764917;43.512878;Picea jezoensis
135.805154;45.181923;Picea jezoensis
137.038793;46.965623;Picea jezoensis
138.051823;48.248151;Picea jezoensis
138.528161;46.985514;Picea jezoensis
133.663817;43.329541;Picea jezoensis
