,species,latitude,longitude
210,larix,51.917427,127.58121799999999
211,larix,55.108256999999995,124.83882
212,larix,44.420136,131.316091
213,larix,51.86594,130.961669
214,larix,54.160514,128.006371
215,larix,46.641040000000004,137.08661999999998
216,larix,46.64275,136.29543
217,larix,46.6364,137.098183
218,larix,52.477803,130.784144
219,larix,54.53669300000001,122.260958
220,larix,48.98545,140.345043
221,larix,49.358167,136.555265
222,larix,50.423334000000004,142.647747
223,larix,63.06,137.8525
224,larix,45.044268,147.74535600000002
225,larix,52.914196999999994,141.973727
226,larix,52.728562,143.080178
227,larix,51.528695,142.030194
228,larix,51.15459,142.710179
229,larix,49.244981,142.992545
230,larix,48.231995,142.56313400000002
231,larix,48.460984,142.101398
232,larix,53.370662,143.064904
233,larix,43.714886,146.66677099999998
234,larix,54.875446999999994,137.555375
235,larix,52.61234399999999,141.136328
236,larix,50.871853,140.455038
237,larix,53.772620999999994,136.841218
238,larix,58.715842,140.811521
239,larix,56.849354000000005,138.01344
240,larix,58.903296999999995,141.7705
241,larix,59.66638100000001,140.460294
242,larix,60.172109999999996,141.410956
243,larix,58.716675,138.970892
244,larix,57.602695,137.831266
245,larix,56.999863,135.728483
246,larix,60.662257,138.763364
247,larix,61.127894,143.089724
248,larix,62.123252,145.581008
249,larix,60.705220999999995,146.018849
250,larix,63.027736,145.55924299999998
251,larix,63.024356000000004,146.92140600000002
252,larix,60.892371,149.35839099999998
253,larix,64.021567,129.422113
254,larix,64.013698,128.16878300000002
255,larix,65.441627,127.108508
256,larix,65.964658,126.76546
257,larix,66.944863,127.55238
258,larix,51.455459999999995,122.66601200000001
259,larix,53.383083,122.878147
260,larix,52.697266000000006,125.635244
261,larix,53.414809,122.868958
262,larix,52.910167,124.48030200000001
263,larix,53.203336,121.84093999999999
264,larix,52.542314000000005,126.06266299999999
265,larix,52.502499,124.967491
266,larix,52.690358999999994,123.268549
267,larix,52.018266,126.011168
268,larix,52.464214,122.06391399999998
269,larix,51.799051,126.40619699999999
270,larix,51.237056,124.948131
271,larix,51.683953,125.078557
272,larix,51.838821,124.134363
273,larix,51.25562,125.567729
274,larix,51.122809000000004,126.41773899999998
275,larix,51.392666,120.20201200000001
276,larix,50.58628,126.897694
277,larix,50.47759,126.13126000000001
278,larix,50.317805,125.60648400000001
279,larix,50.280713,123.512252
280,larix,49.866147,126.632002
281,larix,49.826921999999996,125.300463
282,larix,49.305639,127.218718
283,larix,48.961713,129.263246
284,larix,49.245733,126.09621200000001
285,larix,48.83513,128.138952
286,larix,49.265657,123.24433700000002
287,larix,48.415017,129.689699
288,larix,48.755098,124.92661799999999
289,larix,48.130827000000004,127.968328
290,larix,47.983918,128.870633
291,larix,47.041478999999995,133.648176
292,larix,47.407096,130.244727
293,larix,46.69308,133.706125
294,larix,47.64484,121.342894
295,larix,47.839642,126.62325700000001
296,larix,47.173194,129.67428
297,larix,48.137374,121.576835
298,larix,48.140710999999996,120.1948
299,larix,47.069295000000004,127.969609
300,larix,46.813963,129.452889
301,larix,47.691664,123.299351
302,larix,46.80188,128.684347
303,larix,45.977328,133.122143
304,larix,46.130879,127.76114199999999
305,larix,45.049486,132.980445
306,larix,44.512987,129.1332
307,larix,44.428076000000004,127.95601599999999
308,larix,44.10588,129.737898
309,larix,44.396097999999995,126.592685
310,larix,43.519233,130.941691
311,larix,44.090426,127.299751
312,larix,44.204882,125.96319799999999
313,larix,43.407790999999996,129.815278
314,larix,43.506124,128.94828600000002
315,larix,43.683645,127.786285
316,larix,43.90866,126.364649
317,larix,43.892679,125.58118300000001
318,larix,43.507756,126.641341
319,larix,43.030664,129.321782
320,larix,43.317945,127.21083899999999
321,larix,42.739892,130.36896299999998
322,larix,43.400760999999996,126.024295
323,larix,42.714265999999995,129.502859
324,larix,43.426299,125.05433799999999
325,larix,43.128303,126.904547
326,larix,42.707843,128.567956
327,larix,42.557445,129.22664699999999
328,larix,43.210052000000005,124.61592399999999
329,larix,42.988149,125.70028300000001
330,larix,42.56917,126.392774
331,larix,42.743953000000005,124.98523
332,larix,42.071853000000004,128.357205
333,larix,42.786278,124.124824
334,larix,42.325990000000004,127.189748
335,larix,42.432521,125.874779
336,larix,41.937277,127.846833
337,larix,42.454068,124.34113799999999
338,larix,42.286017,125.335269
339,larix,42.161489,126.41441499999999
340,larix,41.846181,126.93270600000001
341,larix,41.698988,127.47453600000001
342,larix,42.072299,124.74531200000001
343,larix,42.121307,124.10038899999999
344,larix,41.71683,126.238126
345,larix,41.743120000000005,125.24065900000001
346,larix,41.242074,125.47679099999999
347,larix,41.412418,124.214216
348,larix,41.003752,123.35639599999999
349,larix,40.777507,124.96184699999999
350,larix,40.670481,124.53541299999999
351,larix,40.750111,123.880793
352,larix,50.365516,134.112034
353,larix,50.004408000000005,130.858296
354,larix,49.573389,131.127177
355,larix,49.519313000000004,131.656607
356,larix,50.035494,131.702544
357,larix,51.969907,130.17001499999998
358,larix,52.52254,129.74741799999998
359,larix,52.93135,129.264337
360,larix,52.881325,130.08838
361,larix,52.579611,129.553268
362,larix,54.880652000000005,127.002976
363,larix,55.24501,126.69453500000002
364,larix,55.64111,127.13014299999999
365,larix,56.128758,126.73326200000001
366,larix,56.339249,126.278153
367,larix,57.346906000000004,126.04056200000001
368,larix,57.856033999999994,126.505627
369,larix,58.950058999999996,125.89283
370,larix,59.000969999999995,126.04663899999998
371,larix,59.266736,126.491654
372,larix,60.088203,132.026127
373,larix,62.500854000000004,130.487853
374,larix,67.35566899999999,137.113107
375,larix,52.838852,136.522467
376,larix,52.416395,136.346928
377,larix,52.469211,136.971312
378,larix,52.741978,137.80576100000002
379,larix,52.85301,137.80113500000002
380,larix,52.932046,137.95896399999998
381,larix,52.718013,137.248596
382,larix,54.208622999999996,138.814124
383,larix,52.549448,138.756949
384,larix,52.900192000000004,138.115176
385,larix,51.747374,138.430009
386,larix,51.246771,138.739858
387,larix,53.666702,140.417144
388,larix,52.215887,138.212802
389,larix,49.612602,138.352675
390,larix,50.276403,140.07322
391,larix,50.492337,140.014838
392,larix,50.570011,140.271677
393,larix,50.662365,139.47443
394,larix,50.985428999999996,140.043714
395,larix,51.355874,139.646659
396,larix,51.488537,138.733178
397,larix,48.919494,133.293371
398,larix,49.223664,133.348654
399,larix,49.599807,134.01613400000002
400,larix,54.311815,134.254207
401,larix,54.908936,134.575802
402,larix,55.496846999999995,127.962571
403,larix,55.794332,128.171105
404,larix,56.41841899999999,128.130661
405,larix,56.674671999999994,128.09126
406,larix,56.85455699999999,128.093903
407,larix,58.086826,128.69071
408,larix,58.439524,129.530237
409,larix,60.382288,127.03931999999999
410,larix,60.645364,127.931202
411,larix,65.764522,124.90584
412,larix,67.27748100000001,122.248322
413,larix,67.57561899999999,120.9198
414,larix,67.887887,122.089127
415,larix,69.502083,121.805756
416,larix,59.445271,145.821561
417,larix,67.83334,122.090083
418,larix,66.976854,121.86738500000001
419,larix,66.506139,120.847098
420,larix,65.422617,125.135778
421,larix,65.955043,124.784296
422,larix,67.12899499999999,139.605333
423,larix,67.428841,138.206267
424,larix,67.74951899999999,138.175574
425,larix,66.02170600000001,139.482728
426,larix,65.993401,138.68364
427,larix,65.13851600000001,140.357924
428,larix,65.66696999999999,155.643982
429,larix,56.8275,137.4036
430,larix,64.8178,154.3134
431,larix,64.7126,153.0379
432,larix,65.0429,109.2218
433,larix,64.9639,153.0453
434,larix,65.0265,154.7688
435,larix,64.9911,152.1118
436,larix,64.8724,152.3885
437,larix,64.695,153.2753
438,larix,64.9224,152.8908
439,larix,64.8483,154.446
440,larix,64.7255,109.3597
441,larix,64.5328,154.178
442,larix,64.7355,154.0121
443,larix,58.5331,128.8914
444,larix,59.6494,150.4463
445,larix,59.6846,150.5224
446,larix,59.6278,150.8431
447,larix,59.6969,150.9152
448,larix,59.6897,150.8098
449,larix,59.7436,150.8628
450,larix,59.67,150.4573
451,larix,59.6885,150.9861
452,larix,59.5807,151.1699
453,larix,59.6007,151.1363
454,larix,59.6003,150.9998
455,larix,59.5333,150.7728
456,larix,59.6519,150.8978
457,larix,59.7572,150.8688
458,larix,59.3771,150.8662
459,larix,59.6741,150.484
460,larix,59.6933,150.9676
461,larix,59.6426,150.8758
462,larix,59.5897,151.1373
463,larix,55.766999999999996,130.609
464,larix,59.7259,150.8233
465,larix,59.6537,150.4533
466,larix,59.7506,150.9245
467,larix,59.7122,150.7425
468,larix,59.6393,150.89600000000002
469,larix,59.7652,150.8915
470,larix,59.6226,150.4423
471,larix,59.5283,150.7852
472,larix,59.7384,150.8427
473,larix,59.6306,150.9032
474,larix,59.7577,150.9482
475,larix,59.6055,151.1248
476,larix,55.641000000000005,130.749
477,larix,59.6291,150.4508
478,larix,59.6563,150.8863
479,larix,59.6035,151.0212
480,larix,59.6387,150.9763
481,larix,59.6287,150.4406
482,larix,59.6216,150.9906
483,larix,59.7091,150.8053
484,larix,59.6777,150.9312
485,larix,59.5976,151.0537
486,larix,55.71,130.85399999999998
487,larix,59.7211,150.8046
488,larix,59.7354,150.8668
489,larix,59.5251,150.7982
490,larix,59.5915,151.123
491,larix,55.724,130.504
492,larix,59.6438,150.9065
493,larix,59.7016,150.9467
494,larix,59.6361,150.9085
495,larix,59.7515,150.907
496,larix,59.5639,150.8034
497,larix,59.6999,150.7465
498,larix,59.7573,150.8469
499,larix,59.7015,150.8068
500,larix,59.6697,150.797
501,larix,59.7497,150.8651
502,larix,59.6018,151.0938
503,larix,59.7408,150.836
504,larix,59.6175,150.8985
505,larix,59.5974,151.1021
506,larix,57.0632,137.3255
507,larix,59.6647,150.7745
508,larix,59.6785,150.4593
509,larix,55.744,130.592
510,larix,59.5784,151.1255
511,larix,59.6505,150.8783
512,larix,59.608000000000004,150.9676
513,larix,59.6208,150.4331
514,larix,59.6795,150.4753
515,larix,59.7019,150.9661
516,larix,59.5845,151.1255
517,larix,65.9366,111.4699
518,larix,67.8655,123.1494
519,larix,70.2333,101.2
520,larix,70.3333,106.8333
521,larix,71.9666,110.6833
522,larix,71.2077,127.3451
523,larix,71.8972,127.367
524,larix,71.417,127.3652
525,larix,69.486,91.0322
526,larix,62.5286,113.9933
527,larix,71.7333,127.2709
528,larix,72.1705,102.8633
529,larix,71.9804,102.4834
530,larix,72.814,101.1166
531,larix,56.9048,132.6389
532,larix,56.1051,160.2182
533,larix,53.0663,132.8817
534,larix,49.2812,143.9436
535,larix,50.7176,137.5181
536,larix,50.7889,137.7501
537,larix,50.7559,137.6279
538,larix,50.7672,137.3945
539,larix,69.3105,93.5942
540,larix,65.1209,119.7272
541,larix,66.14399999999999,168.0384
542,larix,66.2299,167.5182
543,larix,66.6749,167.8224
544,larix,65.6498,168.5578
545,larix,64.1667,171.0414
546,larix,65.70100000000001,169.4273
547,larix,66.7017,167.5216
548,larix,64.3746,171.2851
549,larix,65.4103,168.5099
550,larix,72.5981,101.2365
551,larix,68.9937,161.5652
552,larix,67.0063,167.7822
553,larix,65.2683,168.6747
554,larix,66.6927,167.6583
555,larix,64.7672,168.9933
556,larix,67.8968,164.9776
557,larix,68.6258,165.5567
558,larix,66.1889,166.5459
559,larix,65.0929,168.86700000000002
560,larix,66.1527,167.7929
561,larix,67.7165,165.1256
562,larix,63.9659,170.1843
563,larix,64.8606,168.7406
564,larix,64.056,170.8215
565,larix,64.7907,168.7077
566,larix,66.2119,166.3447
567,larix,65.1621,168.9164
568,larix,67.9558,165.1259
569,larix,65.0213,168.7132
570,larix,44.4081,135.3894
571,larix,64.84899999999999,165.5175
572,larix,44.4184,135.2201
573,larix,44.3238,135.3919
574,larix,44.349,135.0979
575,larix,63.5389,120.1199
576,larix,44.3286,135.3124
577,larix,44.1603,135.1181
