species;latitude;longitude
larix;55.830833;160.325833
larix;62.339708;151.105852
larix;46.529893;143.318427
larix;46.529893;143.318427
larix;46.726014;142.522618
larix;46.726014;142.522618
larix;46.726014;142.522618
larix;51.792042;143.140039
larix;46.726014;142.522618
larix;46.726014;142.522618
larix;46.726014;142.522618
larix;43.303632;134.602216
larix;49.013831;131.059458
larix;49.013831;131.059458
larix;50.561466;127.647822
larix;51.917427;127.581218
larix;55.108257;124.83882
larix;55.108257;124.83882
larix;44.420136;131.316091
larix;44.420136;131.316091
larix;51.86594;130.961669
larix;54.160514;128.006371
larix;46.64104;137.08662
larix;46.64275;136.29543
larix;46.6364;137.098183
larix;52.477803;130.784144
larix;54.536693;122.260958
larix;54.136667;142.704444
larix;54.136667;142.704444
larix;48.98545;140.345043
larix;48.98545;140.345043
larix;49.358167;136.555265
larix;50.423334;142.647747
larix;50.423334;142.647747
larix;63.06;137.8525
larix;45.044268;147.745356
larix;52.914197;141.973727
larix;52.728562;143.080178
larix;51.528695;142.030194
larix;51.15459;142.710179
larix;49.244981;142.992545
larix;48.231995;142.563134
larix;48.460984;142.101398
larix;53.370662;143.064904
larix;43.714886;146.666771
larix;54.875447;137.555375
larix;52.612344;141.136328
larix;50.871853;140.455038
larix;53.772621;136.841218
larix;58.715842;140.811521
larix;56.849354;138.01344
larix;58.903297;141.7705
larix;59.666381;140.460294
larix;60.17211;141.410956
larix;58.716675;138.970892
larix;57.602695;137.831266
larix;56.999863;135.728483
larix;60.662257;138.763364
larix;61.127894;143.089724
larix;62.123252;145.581008
larix;60.705221;146.018849
larix;60.705221;146.018849
larix;63.027736;145.559243
larix;63.024356;146.921406
larix;60.892371;149.358391
larix;64.021567;129.422113
larix;64.013698;128.168783
larix;65.441627;127.108508
larix;65.964658;126.76546
larix;66.944863;127.55238
larix;51.45546;122.666012
larix;53.383083;122.878147
larix;52.697266;125.635244
larix;53.414809;122.868958
larix;52.910167;124.480302
larix;53.203336;121.84094
larix;52.542314;126.062663
larix;52.502499;124.967491
larix;52.690359;123.268549
larix;52.018266;126.011168
larix;52.464214;122.063914
larix;51.799051;126.406197
larix;51.237056;124.948131
larix;51.683953;125.078557
larix;51.838821;124.134363
larix;51.25562;125.567729
larix;51.122809;126.417739
larix;51.392666;120.202012
larix;50.58628;126.897694
larix;50.47759;126.13126
larix;50.317805;125.606484
larix;50.280713;123.512252
larix;49.866147;126.632002
larix;49.826922;125.300463
larix;49.305639;127.218718
larix;48.961713;129.263246
larix;49.245733;126.096212
larix;48.83513;128.138952
larix;49.265657;123.244337
larix;48.415017;129.689699
larix;48.755098;124.926618
larix;48.130827;127.968328
larix;47.983918;128.870633
larix;47.041479;133.648176
larix;47.407096;130.244727
larix;46.69308;133.706125
larix;47.64484;121.342894
larix;47.839642;126.623257
larix;47.173194;129.67428
larix;48.137374;121.576835
larix;48.140711;120.1948
larix;47.069295;127.969609
larix;46.813963;129.452889
larix;47.691664;123.299351
larix;46.80188;128.684347
larix;45.977328;133.122143
larix;46.130879;127.761142
larix;45.049486;132.980445
larix;44.512987;129.1332
larix;44.428076;127.956016
larix;44.10588;129.737898
larix;44.396098;126.592685
larix;43.519233;130.941691
