species;latitude;longitude;source;no
larix;56.508657;138.00322;botsad;485
larix;53.113057;126.351856;botsad;486
larix;54.076371;127.112369;botsad;487
larix;53.647951;125.428488;botsad;488
larix;55.709988;130.797734;botsad;490
larix;55.709988;130.797734;botsad;491
larix;55.709988;130.797734;botsad;492
larix;50.248043;127.569198;botsad;493
larix;51.453487;136.433335;botsad;494
larix;52.372196;140.442719;botsad;495
larix;43.793611;146.747222;botsad;496
larix;48.611322;142.534178;botsad;497
larix;54.136667;142.704444;botsad;498
larix;51.491667;143.037201;botsad;500
larix;52.505998;142.676201;botsad;501
larix;43.193086;131.985146;botsad;502
larix;43.163918;132.008495;botsad;503
larix;44.291959;134.910658;botsad;504
larix;44.251112;135.455178;botsad;505
larix;44.251112;135.455178;botsad;506
larix;44.251112;135.455178;botsad;507
larix;44.78211;136.279469;botsad;508
larix;43.694902;134.200992;botsad;509
larix;44.255169;135.057261;botsad;510
larix;50.28267;134.6921;botsad;511
larix;50.28267;134.6921;botsad;512
larix;55.035627;135.439453;botsad;513
larix;57.115556;137.412222;botsad;514
larix;59.561152;150.830141;botsad;515
larix;59.561152;150.830141;botsad;516
larix;55.778422;160.18726;botsad;517
larix;46.590263;134.513855;botsad;520
larix;45.169302;136.355903;botsad;521
larix;45.161435;136.567445;botsad;522
larix;45.043256;136.609225;botsad;523
larix;47.252778;138.643056;botsad;524
larix;45.043256;136.609225;botsad;525
larix;45.043256;136.609225;botsad;526
larix;44.312271;135.183474;botsad;527
larix;43.193738;131.924904;botsad;528
larix;43.193019;131.920355;botsad;529
larix;44.251112;135.455178;botsad;530
larix;55.91892;158.673262;botsad;531
larix;55.909513;159.698636;botsad;532
larix;56.071451;159.89537;botsad;533
larix;56.056855;159.871444;botsad;534
larix;56.056112;159.871444;botsad;535
larix;49.431201;132.399403;botsad;536
larix;54.548736;134.963541;botsad;537
larix;54.586951;135.018472;botsad;538
larix;49.077586;140.242795;botsad;539
larix;48.948022;140.225529;botsad;540
larix;50.52976;136.776285;botsad;541
larix;50.588843;135;botsad;542
larix;47.981556;139.541809;botsad;543
larix;47.981556;139.541809;botsad;544
larix;50.74683;133.4198;botsad;545
larix;50.74683;133.4198;botsad;546
larix;50.702778;133.532222;botsad;547
larix;51.018661;132.979986;botsad;548
larix;49.013831;131.059458;botsad;549
larix;49.013831;131.059458;botsad;550
larix;50.702778;133.532222;botsad;551
larix;50.561466;127.647822;botsad;552
larix;48.262745;135.221354;botsad;553
larix;49.102424;130.760139;botsad;554
larix;52.8391;133.302399;botsad;555
larix;52.573277;131.112396;botsad;556
larix;54.603507;127.480172;botsad;557
larix;50.561466;127.647822;botsad;558
larix;43.403337;132.726275;botsad;559
larix;43.379885;132.743441;botsad;560
larix;43.385874;132.741381;botsad;561
larix;60.250302;29.599313;botsad;562
larix;60.250302;29.599313;botsad;563
larix;43.701677;135.257583;botsad;564
larix;43.566071;134.628002;botsad;565
larix;46.481747;134.890137;botsad;566
larix;44.557395;135.622719;botsad;567
larix;45.929455;133.74279;botsad;568
larix;46.563951;134.679779;botsad;569
larix;46.562889;134.664673;botsad;570
larix;46.562889;134.664673;botsad;571
larix;46.525229;134.909363;botsad;572
larix;47.252778;138.643056;botsad;573
larix;45.704952;137.265077;botsad;574
larix;46.562004;134.668664;botsad;575
larix;45.425554;134.435286;botsad;576
larix;45.406419;134.505615;botsad;577
larix;45.393739;134.449019;botsad;578
larix;44.557395;135.622719;botsad;579
larix;63.471971;120.533702;botsad;580
larix;66.761345;124.123753;botsad;581
larix;61.737348;129.269849;botsad;582
larix;62.035452;129.675475;botsad;583
larix;62.035452;129.675475;botsad;584
larix;55.906434;158.751065;botsad;585
larix;55.961318;158.732314;botsad;586
larix;51.394227;109.733294;botsad;587
larix;52.031552;113.497923;botsad;588
larix;51.967825;112.579206;botsad;589
larix;51.050193;110.616247;botsad;590
larix;51.602157;112.922528;botsad;591
larix;49.761373;111.847134;botsad;592
larix;49.780959;111.909019;botsad;593
larix;50.772455;113.489309;botsad;594
larix;50.876667;113.379444;botsad;595
larix;50.849227;113.36619;botsad;596
larix;50.876667;113.379444;botsad;598
larix;49.568986;111.834937;botsad;599
larix;52.463787;119.744844;botsad;600
larix;52.463787;119.744844;botsad;601
larix;51.645562;117.582581;botsad;602
larix;49.590272;111.980506;botsad;603
larix;49.449383;111.128794;botsad;604
larix;49.704089;111.030188;botsad;605
larix;49.590272;111.980506;botsad;606
larix;49.590272;111.980506;botsad;607
larix;49.710715;111.014223;botsad;608
larix;49.713113;111.014658;botsad;609
larix;49.776115;111.24121;botsad;610
larix;49.710715;111.014223;botsad;611
larix;49.712131;111.014909;botsad;612
larix;49.712103;111.014609;botsad;613
larix;49.712353;111.014394;botsad;614
larix;49.020271;111.621465;botsad;615
larix;49.153611;111.556389;botsad;616
larix;43.566071;134.628002;botsad;617
larix;43.566071;134.628002;botsad;618
larix;43.566071;134.628002;botsad;619
larix;43.566071;134.628002;botsad;620
larix;43.566071;134.628002;botsad;621
larix;43.566071;134.628002;botsad;622
larix;43.745539;135.282977;botsad;623
larix;43.745539;135.282977;botsad;624
larix;43.745539;135.282977;botsad;625
larix;59.72903;150.896497;botsad;626
larix;59.767775;150.728956;botsad;627
larix;59.645856;150.706983;botsad;628
larix;59.623641;150.728956;botsad;629
larix;59.601133;150.885073;botsad;630
larix;59.673604;150.794874;botsad;631
larix;43.130391;133.928575;botsad;635
larix;44.557395;135.622719;botsad;636
larix;44.406245;135.393597;botsad;637
larix;45.043256;136.609225;botsad;638
larix;43.123134;134.302564;botsad;639
larix;43.596434;134.677784;botsad;640
larix;43.765611;134.818811;botsad;641
larix;45.043256;136.609225;botsad;642
larix;43.12091;134.307714;botsad;643
larix;41.387384;128.174495;botsad;648
larix;41.387384;128.174495;botsad;649
larix;43.738899;134.417541;botsad;650
larix;43.407805;134.752898;botsad;651
larix;44.406245;135.393597;botsad;652
larix;45.025696;136.634073;botsad;653
larix;43.118591;134.307542;botsad;654
larix;43.303632;134.602216;botsad;655
larix;44.406245;135.393597;botsad;656
larix;43.7216;135.281775;botsad;657
larix;43.740393;135.29289;botsad;658
larix;43.737633;135.29289;botsad;659
larix;43.29433;134.29783;botsad;660
larix;43.118999;134.307413;botsad;661
larix;43.596434;134.677784;botsad;662
larix;43.117495;134.306512;botsad;663
larix;44.557395;135.622719;botsad;664
larix;43.228193;134.115153;botsad;665
larix;43.212518;134.071397;botsad;666
larix;48.965494;140.279817;botsad;667
larix;48.970199;140.276212;botsad;668
larix;48.971523;140.276513;botsad;669
larix;43.252285;132.081388;botsad;670
larix;43.254535;132.100099;botsad;671
larix;44.635823;135.549316;botsad;672
larix;44.167627;133.868543;botsad;673
larix;43.566071;134.628002;botsad;674
larix;44.945047;136.547599;botsad;675
larix;43.567249;132.508139;botsad;676
larix;44.557395;135.622719;botsad;677
larix;44.948085;136.547255;botsad;678
larix;45.10084;136.587424;botsad;679
larix;44.180678;133.883649;botsad;680
larix;46.562889;134.664673;botsad;681
larix;44.185848;133.880559;botsad;682
larix;44.182401;133.914548;botsad;683
larix;45.107746;136.562533;botsad;684
larix;43.387371;132.849185;botsad;685
larix;43.379885;132.819659;botsad;686
larix;43.709054;135.256891;botsad;687
larix;44.557395;135.622719;botsad;688
